x	Episode	y	z	Score
Episode	100	Average	Score:	0.2
Episode	200	Average	Score:	0.81
Episode	300	Average	Score:	1.69
Episode	400	Average	Score:	2.3
Episode	500	Average	Score:	3.2
Episode	600	Average	Score:	4.44
Episode	700	Average	Score:	5.5
Episode	800	Average	Score:	6.17
Episode	900	Average	Score:	7.31
Episode	1000	Average	Score:	7.23
Episode	1100	Average	Score:	7.59
Episode	1200	Average	Score:	8.45
Episode	1300	Average	Score:	9.45
Episode	1400	Average	Score:	9.7
Episode	1500	Average	Score:	10.07
Episode	1600	Average	Score:	10.53
Episode	1700	Average	Score:	11.36
Episode	1800	Average	Score:	11.67
Episode	1900	Average	Score:	11.43
Episode	2000	Average	Score:	11.57
Episode	2100	Average	Score:	11.64
Episode	2200	Average	Score:	12.05
Episode	2300	Average	Score:	12.17
Episode	2400	Average	Score:	13.06
Episode	2500	Average	Score:	12.78
Episode	2600	Average	Score:	13.13
Episode	2700	Average	Score:	12.82
Episode	2800	Average	Score:	13.01
Episode	2900	Average	Score:	13.09
Episode	3000	Average	Score:	13.92
Episode	3100	Average	Score:	14.41
Episode	3200	Average	Score:	14.31
Episode	3300	Average	Score:	13.65
Episode	3400	Average	Score:	14.15
Episode	3500	Average	Score:	14.19
Episode	3600	Average	Score:	14.65
Episode	3700	Average	Score:	14.58
Episode	3800	Average	Score:	14.52
Episode	3900	Average	Score:	14.83
Episode	4000	Average	Score:	15.29
Episode	4100	Average	Score:	14.81
Episode	4200	Average	Score:	15.34
Episode	4300	Average	Score:	14.72
Episode	4400	Average	Score:	14.75
Episode	4500	Average	Score:	14.56
Episode	4600	Average	Score:	14.29
Episode	4700	Average	Score:	15.29
Episode	4800	Average	Score:	14.63
Episode	4900	Average	Score:	15.43
Episode	5000	Average	Score:	15.27
Episode	5100	Average	Score:	15.52
Episode	5200	Average	Score:	14.66
Episode	5300	Average	Score:	15.28
Episode	5400	Average	Score:	15.26
Episode	5500	Average	Score:	15.66
Episode	5600	Average	Score:	15.29
Episode	5700	Average	Score:	15.12
Episode	5800	Average	Score:	15.11
Episode	5900	Average	Score:	15.52
Episode	6000	Average	Score:	15.64
Episode	6100	Average	Score:	15.59
Episode	6200	Average	Score:	14.66
Episode	6300	Average	Score:	15.01
Episode	6400	Average	Score:	15.5
Episode	6500	Average	Score:	15.33
Episode	6600	Average	Score:	15.34
Episode	6700	Average	Score:	15.77
Episode	6800	Average	Score:	14.89
Episode	6900	Average	Score:	15.11
Episode	7000	Average	Score:	16.08
Episode	7100	Average	Score:	15.93
Episode	7200	Average	Score:	15.89
Episode	7300	Average	Score:	15.9
Episode	7400	Average	Score:	15.66
Episode	7500	Average	Score:	15.31
Episode	7600	Average	Score:	15.82
Episode	7700	Average	Score:	15.6
Episode	7800	Average	Score:	16.22
Episode	7900	Average	Score:	15.67
Episode	8000	Average	Score:	15.21
Episode	8100	Average	Score:	15.25
Episode	8200	Average	Score:	14.62
Episode	8300	Average	Score:	15.65
Episode	8400	Average	Score:	15.83
Episode	8500	Average	Score:	15.64
Episode	8600	Average	Score:	15.26
Episode	8700	Average	Score:	15.64
Episode	8800	Average	Score:	16.48
Episode	8900	Average	Score:	15.97
Episode	9000	Average	Score:	15.51
Episode	9100	Average	Score:	16.08
Episode	9200	Average	Score:	16.24
Episode	9300	Average	Score:	16.66
Episode	9400	Average	Score:	16.17
Episode	9500	Average	Score:	16.46
Episode	9600	Average	Score:	16.27
Episode	9700	Average	Score:	15.74
Episode	9800	Average	Score:	15.79
Episode	9900	Average	Score:	15.68
Episode	10000	Average	Score:	14.55
Episode	10100	Average	Score:	14.55
Episode	10200	Average	Score:	15.22
Episode	10300	Average	Score:	14.93
Episode	10400	Average	Score:	15.19
Episode	10500	Average	Score:	15.66
Episode	10600	Average	Score:	15.18
Episode	10700	Average	Score:	15.02
Episode	10800	Average	Score:	15.65
Episode	10900	Average	Score:	15.29
Episode	11000	Average	Score:	15.05
Episode	11100	Average	Score:	15.59
Episode	11200	Average	Score:	15.11
Episode	11300	Average	Score:	15.62
Episode	11400	Average	Score:	15.56
Episode	11500	Average	Score:	16.17
Episode	11600	Average	Score:	15.22
Episode	11700	Average	Score:	16.55
Episode	11800	Average	Score:	15.99
Episode	11900	Average	Score:	15.4
Episode	12000	Average	Score:	16.2
Episode	12100	Average	Score:	15.61
Episode	12200	Average	Score:	15.22
Episode	12300	Average	Score:	15.63
Episode	12400	Average	Score:	15.97
Episode	12500	Average	Score:	16.13
Episode	12600	Average	Score:	15.8
Episode	12700	Average	Score:	16.07
Episode	12800	Average	Score:	16.76
Episode	12900	Average	Score:	16.08
Episode	13000	Average	Score:	16.34
Episode	13100	Average	Score:	15.28
Episode	13200	Average	Score:	16.52
Episode	13300	Average	Score:	15.58
Episode	13400	Average	Score:	15.18
Episode	13500	Average	Score:	15.41
Episode	13600	Average	Score:	14.95
Episode	13700	Average	Score:	14.88
Episode	13800	Average	Score:	15.09
Episode	13900	Average	Score:	14.88
Episode	14000	Average	Score:	15.56
Episode	14100	Average	Score:	15.83
Episode	14200	Average	Score:	16.23
Episode	14300	Average	Score:	16.29
Episode	14400	Average	Score:	15.29
Episode	14500	Average	Score:	15.05
Episode	14600	Average	Score:	16.5
Episode	14700	Average	Score:	15.19
Episode	14800	Average	Score:	15.74
Episode	14900	Average	Score:	15.97
Episode	15000	Average	Score:	15.82
Episode	15100	Average	Score:	16.15
Episode	15200	Average	Score:	15.68
Episode	15300	Average	Score:	16.26
Episode	15400	Average	Score:	16.12
Episode	15500	Average	Score:	15.46
Episode	15600	Average	Score:	15.58
Episode	15700	Average	Score:	15.45
Episode	15800	Average	Score:	15.49
Episode	15900	Average	Score:	15.21
Episode	15967	Average	Score:	15.52
